"Fecha","[Min] % Humedad Relativa","[Prom] m/s Velocidad de Viento","[Prom] mm Precipitación","[Prom] mm Evapotranspiración"
"2025-01-01","62.92","02.43","00.00","03.26"
"2025-01-02","59.67","02.18","00.00","04.22"
"2025-01-03","60.44","02.21","00.00","04.24"
"2025-01-04","54.54","01.81","00.00","03.07"
"2025-01-05","46.00","02.33","00.00","04.40"
"2025-01-06","56.79","01.89","00.00","03.72"
"2025-01-07","56.43","01.86","00.00","03.36"
"2025-01-08","56.97","02.18","00.00","04.91"
"2025-01-09","62.65","01.84","00.00","03.58"
"2025-01-10","65.34","01.88","00.00","03.40"
"2025-01-11","61.45","01.95","00.00","03.12"
"2025-01-12","62.09","01.70","00.00","02.51"
"2025-01-13","51.14","01.96","00.00","05.15"
"2025-01-14","62.88","02.44","00.00","04.30"
"2025-01-15","58.04","02.13","00.00","04.35"
"2025-01-16","54.97","02.66","00.00","05.29"
"2025-01-17","63.75","02.41","00.00","04.25"
"2025-01-18","47.20","02.27","00.00","05.02"
"2025-01-19","62.68","02.67","00.00","04.20"
"2025-01-20","57.83","02.23","00.00","03.83"
"2025-01-21","53.50","02.38","00.00","04.46"
"2025-01-22","56.95","02.16","00.00","04.65"
"2025-01-23","53.33","02.50","00.00","05.26"
"2025-01-24","50.95","02.63","00.00","05.24"
"2025-01-25","61.46","02.60","00.00","04.70"
"2025-01-26","61.76","02.49","00.00","03.76"
"2025-01-27","58.90","02.13","00.00","03.93"
"2025-01-28","61.36","02.91","00.00","03.96"
"2025-01-29","55.59","01.77","00.10","03.49"
"2025-01-30","54.45","01.97","00.00","04.42"
"2025-01-31","58.82","02.45","00.00","04.21"
"2025-02-01","62.27","02.66","00.00","04.18"
"2025-02-02","64.30","02.47","00.00","04.05"
"2025-02-03","50.05","02.34","00.00","05.06"
"2025-02-04","55.24","02.78","00.00","04.88"
"2025-02-05","53.39","02.30","00.00","04.88"
"2025-02-06","61.04","03.09","00.00","04.21"
"2025-02-07","55.63","01.90","00.00","04.00"
"2025-02-08","55.94","02.50","00.00","04.72"
"2025-02-09","56.29","01.79","00.00","03.83"
"2025-02-10","50.12","01.42","00.00","04.68"
"2025-02-11","54.00","02.51","00.00","05.09"
"2025-02-12","53.84","02.59","00.00","04.83"
"2025-02-13","61.29","02.15","00.00","04.33"
"2025-02-14","60.40","01.96","00.00","03.84"
"2025-02-15","56.33","02.44","00.00","04.35"
"2025-02-16","55.06","02.29","00.00","04.23"
"2025-02-17","58.24","02.10","00.00","04.05"
"2025-02-18","59.11","02.83","00.00","03.63"
"2025-02-19","55.76","01.87","00.00","03.70"
"2025-02-20","49.83","01.96","00.00","04.77"
"2025-02-21","60.79","02.46","00.00","04.25"
"2025-02-22","57.86","02.44","00.00","03.74"
"2025-02-23","64.46","02.29","00.00","03.15"
"2025-02-24","64.52","02.25","00.00","03.10"
"2025-02-25","63.57","01.93","00.00","04.00"
"2025-02-26","61.61","02.36","00.00","03.82"
"2025-02-27","58.61","02.17","00.00","03.56"
"2025-02-28","55.76","01.73","00.00","04.40"
"2025-03-01","56.79","02.21","00.00","04.22"
"2025-03-02","57.32","02.10","00.00","03.96"
"2025-03-03","46.78","02.18","00.00","04.44"
"2025-03-04","52.97","02.23","00.00","04.21"
"2025-03-05","62.09","02.21","00.00","03.57"
"2025-03-06","54.34","01.68","00.00","03.51"
"2025-03-07","47.54","01.96","00.00","04.48"
"2025-03-08","51.94","02.56","00.00","04.41"
"2025-03-09","60.91","02.28","00.00","03.52"
"2025-03-10","58.51","01.67","00.00","03.43"
"2025-03-11","54.31","02.02","00.00","04.00"
"2025-03-12","61.72","02.03","00.00","03.41"
"2025-03-13","67.22","02.13","00.00","02.76"
"2025-03-14","65.56","01.39","00.00","02.04"
"2025-03-15","53.67","01.51","00.00","03.84"
"2025-03-16","56.46","02.05","00.00","03.84"
"2025-03-17","60.51","01.62","00.00","03.14"
"2025-03-18","68.61","01.91","00.00","02.30"
"2025-03-19","65.47","01.45","00.10","02.00"
"2025-03-20","55.16","01.27","00.00","03.20"
"2025-03-21","60.08","01.68","00.00","02.99"
"2025-03-22","76.58","01.59","00.00","01.47"
"2025-03-23","77.23","01.39","00.00","01.34"
"2025-03-24","73.92","01.17","00.10","01.43"
"2025-03-25","52.93","01.44","00.00","03.11"
"2025-03-26","50.10","01.71","00.00","03.54"
"2025-03-27","58.48","01.48","00.00","02.60"
"2025-03-28","48.53","02.04","00.00","03.75"
"2025-03-29","59.21","02.14","00.00","03.17"
"2025-03-30","47.69","01.43","00.00","03.69"
"2025-03-31","51.97","02.27","00.00","03.72"
"2025-04-01","55.89","01.75","00.00","02.91"
"2025-04-02","56.81","01.39","00.00","02.60"
"2025-04-03","47.78","01.94","00.20","03.17"
"2025-04-04","63.12","01.53","00.00","02.48"
"2025-04-05","57.81","01.00","00.00","01.82"
"2025-04-06","48.48","01.26","00.00","02.93"
"2025-04-07","44.77","02.36","00.00","03.49"
"2025-04-08","65.47","01.51","00.00","01.86"
"2025-04-09","62.50","01.09","00.00","01.64"
"2025-04-10","53.18","01.24","00.00","02.66"
"2025-04-11","55.96","01.79","00.00","02.69"
"2025-04-12","54.66","01.62","00.00","02.77"
"2025-04-13","63.09","01.97","00.00","02.46"
"2025-04-14","74.83","00.91","00.00","01.10"
"2025-04-15","60.63","01.91","00.00","02.61"
"2025-04-16","58.06","01.70","00.00","02.58"
"2025-04-17","65.32","01.70","00.00","02.30"
"2025-04-18","64.33","01.23","00.00","01.82"
"2025-04-19","79.92","00.89","00.00","00.98"
"2025-04-20","62.02","01.81","00.00","02.35"
"2025-04-21","66.75","01.50","00.00","02.02"
"2025-04-22","63.28","01.51","00.00","02.06"
"2025-04-23","65.91","01.42","00.00","01.85"
"2025-04-24","48.25","01.16","00.20","02.91"
"2025-04-25","40.86","01.61","00.00","03.07"
"2025-04-26","55.38","01.24","00.00","02.16"
"2025-04-27","63.02","02.12","00.10","02.46"
"2025-04-28","83.00","01.09","00.10","00.91"
"2025-04-29","76.84","00.81","00.00","00.97"
"2025-04-30","62.34","00.88","00.00","01.44"
"2025-05-01","53.71","00.73","00.00","01.60"
"2025-05-02","46.65","01.50","00.00","02.32"
"2025-05-03","68.13","01.15","00.00","01.52"
"2025-05-04","76.87","01.03","00.00","01.14"
"2025-05-05","80.50","01.09","00.00","00.94"
"2025-05-06","71.81","01.32","00.00","01.30"
"2025-05-07","63.22","01.23","00.00","01.71"
"2025-05-08","67.41","00.90","00.00","01.13"
"2025-05-09","33.48","01.02","00.00","02.36"
"2025-05-10","69.34","02.08","00.00","01.75"
"2025-05-11","62.60","00.96","00.00","01.39"
"2025-05-12","60.30","01.43","00.00","01.85"
"2025-05-13","80.80","01.03","00.00","00.84"
"2025-05-14","68.81","01.22","00.00","01.38"
"2025-05-15","68.06","01.53","00.00","01.36"
"2025-05-16","65.31","00.96","00.00","01.34"
"2025-05-17","60.71","00.93","00.00","01.30"
"2025-05-18","45.51","01.28","00.00","01.91"
"2025-05-19","51.86","01.69","00.00","02.18"
"2025-05-20","51.19","01.52","00.00","02.11"
"2025-05-21","67.85","01.58","00.10","01.77"
"2025-05-22","78.39","00.78","00.10","00.91"
"2025-05-23","86.60","00.77","00.00","00.70"
"2025-05-24","69.50","01.41","00.00","01.51"
"2025-05-25","66.62","00.90","00.20","01.23"
"2025-05-26","56.40","01.13","00.00","01.83"
"2025-05-27","51.87","01.12","00.00","01.91"
"2025-05-28","47.06","01.50","00.00","02.11"
"2025-05-29","70.61","01.00","00.00","01.17"
"2025-05-30","57.68","01.36","00.20","01.76"
"2025-05-31","80.20","01.47","00.10","01.11"
"2025-06-01","78.98","00.84","00.10","00.72"
"2025-06-02","63.78","00.91","00.00","01.17"
"2025-06-03","78.25","01.11","00.10","00.87"
"2025-06-04","60.97","00.94","00.00","01.23"
"2025-06-05","60.14","01.46","00.10","01.42"
"2025-06-06","64.49","01.30","00.00","01.08"
"2025-06-07","51.02","01.04","00.10","01.45"
"2025-06-08","35.58","01.01","00.00","01.81"
"2025-06-09","51.71","01.39","00.00","01.59"
"2025-06-10","74.33","01.44","00.00","00.98"
"2025-06-11","67.41","01.60","00.00","01.12"
"2025-06-12","77.32","01.44","24.60","00.81"
"2025-06-13","66.39","00.80","00.00","01.10"
"2025-06-14","63.80","01.00","00.10","01.32"
"2025-06-15","66.16","01.14","00.10","01.23"
"2025-06-16","80.70","01.14","17.40","00.74"
"2025-06-17","67.21","00.97","00.10","01.20"
"2025-06-18","63.34","01.06","00.10","01.30"
"2025-06-19","57.68","00.79","00.10","01.31"
"2025-06-20","78.50","00.88","00.20","00.84"
"2025-06-21","65.57","00.97","00.20","01.20"
"2025-06-22","59.56","01.16","00.20","01.45"
"2025-06-23","60.32","01.25","00.10","01.50"
"2025-06-24","76.02","00.77","00.00","00.75"
"2025-06-25","53.50","00.81","00.00","01.09"
"2025-06-26","57.62","01.11","00.00","01.49"
"2025-06-27","73.78","01.44","00.10","01.17"
"2025-06-28","64.86","00.81","00.00","00.98"
"2025-06-29","39.22","00.79","00.10","01.47"
"2025-06-30","50.70","01.21","00.10","01.48"
"2025-07-01","37.12","01.02","00.10","01.85"
"2025-07-02","31.57","00.98","00.00","02.12"
"2025-07-03","65.11","01.65","00.00","01.40"
"2025-07-04","75.27","00.88","00.00","00.84"
"2025-07-05","61.16","01.33","00.00","01.43"
"2025-07-06","58.11","01.32","00.00","01.72"
"2025-07-07","52.20","01.57","00.00","01.91"
"2025-07-08","76.28","00.93","00.00","00.82"
"2025-07-09","68.84","01.31","00.00","01.06"
"2025-07-10","60.23","01.50","00.00","01.58"
"2025-07-11","66.84","01.10","00.00","01.16"
"2025-07-12","64.62","01.04","00.00","01.26"
"2025-07-13","66.65","01.05","00.00","01.16"
"2025-07-14","58.90","01.35","00.00","01.55"
"2025-07-15","55.44","01.19","00.00","01.60"
"2025-07-16","38.56","01.18","00.00","01.97"
"2025-07-17","70.48","01.39","00.00","01.39"
"2025-07-18","72.16","00.96","00.10","00.96"
"2025-07-19","75.95","00.71","00.10","00.86"
"2025-07-20","68.50","00.96","00.00","01.11"
"2025-07-21","74.93","01.46","00.00","01.24"
"2025-07-22","78.10","01.68","00.30","01.02"
"2025-07-23","65.00","01.12","00.00","01.42"
"2025-07-24","65.61","01.12","00.00","01.26"
"2025-07-25","41.61","01.47","00.00","02.01"
"2025-07-26","75.74","01.35","00.00","00.87"
"2025-07-27","52.77","01.29","00.00","01.75"
"2025-07-28","41.62","01.42","00.00","02.20"
"2025-07-29","74.30","01.56","00.00","01.26"
"2025-07-30","80.50","01.38","00.90","00.85"
"2025-07-31","76.09","00.89","00.90","00.81"
"2025-08-01","75.07","02.09","60.20","01.44"
"2025-08-02","55.58","01.08","00.10","01.99"
"2025-08-03","58.20","00.95","00.00","01.84"
"2025-08-04","60.36","00.85","00.00","01.93"
"2025-08-05","78.89","01.21","00.20","01.15"
"2025-08-06","81.90","01.25","00.10","01.41"
"2025-08-07","87.20","01.17","00.30","00.84"
"2025-08-08","84.60","01.39","00.00","01.02"
"2025-08-09","73.29","01.12","00.00","01.20"
"2025-08-10","52.57","01.18","00.00","02.28"
"2025-08-11","50.07","01.66","00.10","02.64"
"2025-08-12","79.57","00.98","00.10","01.14"
"2025-08-13","83.40","01.13","00.20","00.88"
"2025-08-14","84.40","01.28","01.40","00.92"
"2025-08-15","68.32","01.42","00.00","01.39"
"2025-08-16","58.58","01.58","00.10","02.25"
"2025-08-17","70.38","01.32","00.00","01.16"
"2025-08-18","61.38","01.65","13.60","01.15"
"2025-08-19","48.11","01.64","00.00","02.52"
"2025-08-20","53.86","01.77","00.00","02.44"
"2025-08-21","72.22","01.65","02.50","01.12"
"2025-08-22","59.84","01.94","06.70","02.04"
"2025-08-23","28.14","01.41","00.00","02.76"
"2025-08-24","40.30","01.18","00.10","02.38"
"2025-08-25","49.16","01.24","00.00","02.45"
"2025-08-26","82.60","01.40","00.10","00.84"
"2025-08-27","74.06","01.11","00.10","01.49"
"2025-08-28","77.95","01.02","00.00","01.05"
"2025-08-29","59.11","01.16","00.00","01.51"
"2025-08-30","57.03","00.93","00.10","01.57"
"2025-08-31","60.30","01.08","00.00","02.23"
"2025-09-01","58.72","01.83","00.10","02.69"
"2025-09-02","67.60","01.14","00.00","02.20"
"2025-09-03","68.33","01.04","00.00","01.76"
"2025-09-04","80.40","00.93","00.00","01.01"
"2025-09-05","67.69","01.58","00.00","02.37"
"2025-09-06","75.69","01.39","00.00","01.23"
"2025-09-07","60.94","01.37","00.50","01.50"
"2025-09-08","53.45","01.25","00.00","02.82"
"2025-09-09","48.59","01.59","00.00","03.35"
"2025-09-10","39.70","01.43","00.10","03.59"
"2025-09-11","59.10","01.87","00.10","03.18"
"2025-09-12","80.20","01.25","00.00","00.97"
"2025-09-13","55.43","01.43","00.00","03.17"
"2025-09-14","57.59","01.57","00.10","03.02"
"2025-09-15","76.32","01.66","00.20","02.23"
"2025-09-16","81.20","01.36","00.20","00.98"
"2025-09-17","60.82","00.96","00.00","02.36"
"2025-09-18","60.81","01.77","00.10","02.99"
"2025-09-19","63.76","01.68","00.00","02.90"
"2025-09-20","52.61","01.69","00.00","02.83"
"2025-09-21","38.34","01.87","00.00","03.73"
"2025-09-22","28.24","01.33","00.00","03.95"
"2025-09-23","60.03","01.73","00.00","03.06"
"2025-09-24","62.90","01.50","00.10","02.86"
"2025-09-25","70.29","01.44","00.00","02.05"
"2025-09-26","54.61","01.96","00.00","03.00"
"2025-09-27","36.92","01.13","00.00","03.66"
"2025-09-28","60.72","02.14","00.00","03.21"
"2025-09-29","65.45","01.31","00.00","01.88"
"2025-09-30","74.56","01.50","00.00","02.16"
"2025-10-01","67.73","01.60","00.20","02.54"
"2025-10-02","68.07","01.54","00.00","02.69"
"2025-10-03","85.30","01.62","00.50","01.18"
"2025-10-04","60.29","01.42","01.30","02.15"
"2025-10-05","40.64","02.44","00.00","04.59"
"2025-10-06","43.87","01.50","00.00","03.98"
"2025-10-07","60.22","01.84","00.00","03.49"
"2025-10-08","60.37","01.47","00.00","02.91"
"2025-10-09","64.91","01.72","00.20","02.38"
"2025-10-10","73.74","01.25","00.00","01.39"
"2025-10-11","52.41","01.80","00.00","04.18"
"2025-10-12","56.62","01.96","00.00","03.83"
"2025-10-13","69.79","01.65","00.00","02.25"
"2025-10-14","63.98","01.12","00.00","01.81"
"2025-10-15","53.97","01.58","00.00","03.83"
"2025-10-16","64.29","02.06","00.00","03.55"
"2025-10-17","62.39","01.60","00.00","02.87"
"2025-10-18","69.85","01.52","00.00","01.99"
"2025-10-19","68.00","01.58","00.00","01.90"
"2025-10-20","69.67","01.13","00.00","01.78"
"2025-10-21","71.17","01.43","00.00","02.12"
"2025-10-22","72.50","01.58","00.00","01.89"
"2025-10-23","64.08","01.48","00.00","02.14"
"2025-10-24","61.04","01.13","00.00","02.09"
"2025-10-25","42.91","01.61","00.00","04.25"
"2025-10-26","54.90","02.01","00.00","03.99"
"2025-10-27","63.82","02.19","00.00","03.26"
"2025-10-28","64.88","01.72","00.00","03.30"
"2025-10-29","67.18","02.27","00.00","03.49"
"2025-10-30","64.15","02.55","00.10","03.65"
"2025-10-31","68.39","01.90","00.00","02.31"
"2025-11-01","45.06","02.23","00.10","04.49"
"2025-11-02","55.94","02.23","00.10","04.09"
"2025-11-03","57.32","01.72","00.00","03.91"
"2025-11-04","48.93","02.07","00.00","04.58"
"2025-11-05","49.58","02.13","00.00","04.55"
"2025-11-06","42.97","02.44","00.00","04.18"
"2025-11-07","39.43","01.94","00.00","05.01"
"2025-11-08","50.77","02.20","00.00","04.33"
"2025-11-09","41.98","01.81","00.00","04.63"
"2025-11-10","45.36","01.99","00.00","04.72"
"2025-11-11","44.07","01.79","00.00","04.80"
"2025-11-12","45.34","02.30","00.00","04.86"
"2025-11-13","66.10","02.21","00.00","03.59"
"2025-11-14","62.73","01.90","00.00","03.24"
"2025-11-15","61.09","01.79","00.00","03.39"
"2025-11-16","51.43","01.99","00.00","04.49"
"2025-11-17","61.89","02.37","00.10","04.17"
"2025-11-18","70.17","01.48","00.00","01.68"
"2025-11-19","53.38","01.55","00.00","04.57"
"2025-11-20","50.87","01.71","00.00","04.47"
"2025-11-21","53.27","02.18","00.00","04.45"
"2025-11-22","62.32","01.78","00.00","03.54"
"2025-11-23","64.59","01.91","00.00","03.04"
"2025-11-24","69.90","01.83","00.00","02.23"
"2025-11-25","63.37","01.24","00.00","02.01"
"2025-11-26","53.15","01.37","00.00","03.92"
"2025-11-27","54.05","01.58","00.00","04.61"
"2025-11-28","55.97","01.59","00.00","03.88"
"2025-11-29","46.78","01.75","00.00","04.98"
"2025-11-30","45.20","01.82","00.00","05.22"
"2025-12-01","45.79","02.50","00.00","05.53"
"2025-12-02","43.78","02.72","00.00","05.61"
"2025-12-03","60.84","02.64","00.00","04.29"
"2025-12-04","62.99","01.82","00.00","02.38"
"2025-12-05","54.44","01.87","00.00","04.80"
"2025-12-06","56.68","01.69","00.00","02.84"
"2025-12-07","45.77","02.03","00.00","05.49"
"2025-12-08","58.33","02.98","00.00","04.85"
"2025-12-09","67.78","01.74","00.00","01.95"
"2025-12-10","60.62","02.07","00.00","02.70"
"2025-12-11","62.50","01.67","00.00","02.40"
"2025-12-12","48.62","02.25","00.00","05.22"
"2025-12-13","53.47","02.53","00.00","04.74"
"2025-12-14","44.83","01.91","00.00","04.68"
"2025-12-15","42.76","02.39","00.00","05.58"
"2025-12-16","56.91","03.00","00.00","04.89"
"2025-12-17","53.29","02.22","00.00","03.71"
"2025-12-18","51.33","02.01","00.00","05.07"
"2025-12-19","48.43","02.13","00.00","04.48"
"2025-12-20","41.63","01.81","00.00","05.46"
"2025-12-21","38.78","02.26","00.00","05.71"
"2025-12-22","41.21","02.43","00.00","05.87"
"2025-12-23","43.59","02.75","00.00","05.66"
"2025-12-24","53.16","02.61","00.00","04.63"
"2025-12-25","59.79","02.48","00.00","04.15"
"2025-12-26","55.43","01.94","00.00","03.86"
"2025-12-27","52.21","02.83","00.00","05.25"
"2025-12-28","48.55","02.73","00.00","05.35"
"2025-12-29","59.14","02.80","00.00","04.88"
"2025-12-30","59.93","02.55","00.00","04.77"
"2025-12-31","58.46","02.52","00.00","04.03"
"2026-01-01","57.44","02.35","00.40","03.80"
